record_id,subject_id,t_center,original_index,pm_anomaly_score,pm_anomaly_score_max,feature_anomaly_score,combined_anomaly_score,anomaly_threshold,is_anomaly,target_attention,target_engagement,target_excitement,target_stress,target_relaxation,target_interest,target_focus
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,2280.0,2033,0.6513290471084743,1.785193224800027,212.30853,31.459468730544412,20.37091060104527,True,0.536908,0.441739,0.035325,0.314909,0.20001,0.465032,0.370807
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,2540.0,2059,2.5441919276420593,10.944857305400097,801.54376,122.58180363950362,20.37091060104527,True,0.525151,0.467671,0.593604,0.788145,0.502685,0.718775,0.524842
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,2640.0,2069,1.0454571174946903,2.8665783071394126,682.26324,101.75392932221823,20.37091060104527,True,0.60171,0.519272,0.646141,0.686305,0.31286,0.533775,0.55413
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,2710.0,2076,2.6268814182167657,7.840713928026239,222.04877,36.384770537128944,20.37091060104527,True,0.420283,0.626868,0.682993,0.906025,0.500374,0.638649,0.575641
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,2750.0,2080,1.1459663016597528,2.6545849388068365,135.86539,20.525821640623892,20.37091060104527,True,0.583392,0.445522,0.779237,0.546286,0.170312,0.542846,0.648634
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,2860.0,2091,1.8441356811062197,7.77246680412653,246.4034,38.42111482070411,20.37091060104527,True,0.617171,0.615892,0.437477,0.709136,0.31754,0.662842,0.556004
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,3170.0,2122,0.9578445145102057,2.852201420326635,1904.9756,283.80320744082843,20.37091060104527,True,0.632231,0.636755,0.473377,0.499489,0.158469,0.504172,0.577117
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,3180.0,2123,5.330923462035467,18.863541737881643,670.2302,108.684113943714,20.37091060104527,True,0.319844,0.840708,0.906842,0.954038,0.670913,0.933237,0.555542
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,3420.0,2147,1.1016502053184074,3.932309625293383,824.58777,123.07973454220954,20.37091060104527,True,0.606095,0.660305,0.084429,0.560869,0.458439,0.512334,0.298979
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,3510.0,2156,0.8499172167896945,2.479909697176857,598.324,88.84595337215784,20.37091060104527,True,0.728475,0.529267,0.001532,0.404777,0.315274,0.507866,0.25964
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,3520.0,2157,2.839628666281961,11.896326784768013,1172.5574,178.4774244653775,20.37091060104527,True,0.645905,0.671019,0.340888,0.843587,0.579525,0.785024,0.305758
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,3960.0,2201,1.2590909118074232,3.2674663515449742,156.71295,23.86312790084622,20.37091060104527,True,0.643608,0.550259,0.181879,0.54361,0.385612,0.598119,0.292829
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,4000.0,2205,2.0958265550417727,10.613284098169547,1327.0471,199.9877951862927,20.37091060104527,True,0.524459,0.750404,0.135083,0.617727,0.697059,0.633295,0.167392
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,4010.0,2206,4.0359695179292485,15.362115707806653,238.98701,41.77752338709678,20.37091060104527,True,0.437194,0.734927,0.901106,0.990088,0.697059,0.986018,0.432976
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,4030.0,2208,1.4182611465174955,5.866883928737713,585.0244,88.02076943907481,20.37091060104527,True,0.540032,0.74386,0.24436,0.667822,0.665796,0.699199,0.407746
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,4250.0,2230,2.1718178139867197,7.936663513508893,605.109,92.54803928412994,20.37091060104527,True,0.272083,0.672741,0.441267,0.735877,0.551778,0.701721,0.277207
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,4340.0,2239,2.22495054005678,12.72134645191046,779.22363,118.6054611834517,20.37091060104527,True,0.335773,0.639961,0.211953,0.64745,0.662826,0.787329,0.171671
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,4440.0,2249,1.1345288536482028,5.887302780699436,2894.5579,431.64580807146325,20.37091060104527,True,0.421675,0.724638,0.041474,0.559403,0.697059,0.699993,0.200213
Old_EEG__2162c09e__day1____2023.12.18T12.15.08p03.00,2162c09e,1860.0,2434,0.714285991830218,2.0170445998525186,296.08823,43.817467661199856,20.37091060104527,True,0.785724,0.59877,0.313366,0.388254,0.210971,0.461278,0.519969
Old_EEG__2162c09e__day1____2023.12.18T12.15.08p03.00,2162c09e,4140.0,2662,1.5285356251322864,3.6407400778854244,447.62762,67.7682476136493,20.37091060104527,True,0.374527,0.624026,0.675078,0.518813,0.561906,0.731299,0.350699
Old_EEG__2162c09e__day1____2023.12.18T12.15.08p03.00,2162c09e,4860.0,2734,2.242362316348604,7.803462619506194,317.5593,49.83651095665478,20.37091060104527,True,0.490243,0.668181,0.993353,0.926844,0.697059,0.871993,0.557457
Old_EEG__2162c09e__day1____2023.12.18T12.15.08p03.00,2162c09e,4930.0,2740,3.1230381880025377,8.857807820107702,569.12604,89.12161099978294,20.37091060104527,True,0.416623,0.524993,0.995713,0.999222,0.697059,0.996576,0.769893
Old_EEG__2162c09e__day1____2023.12.18T12.15.08p03.00,2162c09e,4940.0,2741,2.893916642954357,8.849169467238642,664.0885,102.80798047213355,20.37091060104527,True,0.402385,0.387947,1.0,0.998629,0.697059,0.972568,0.805196
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,20.0,2840,1.112743865929872,5.68881577752061,166.93097,25.088070893444403,20.37091060104527,True,0.524859,0.670008,0.931172,0.834144,0.674201,0.546404,0.607166
