model_family,run_dir,target,mae_mean,rmse_mean,r2_mean,pearson_mean,spearman_mean
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0589034204567921,0.0798643020414776,0.0969384890650658,0.367429709803197,0.3085682537033943
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.106136273796746,0.1335323271815543,0.1899716837593635,0.4494060805158031,0.4144326014781018
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1056925846579564,0.1333080925529718,0.1926898853467158,0.4571421899009861,0.4209026535543957
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1073564228802852,0.1341588686372847,0.1823524505857426,0.4307511615733474,0.3792255768172929
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.071765681725424,0.1052326766089606,0.1821000049613045,0.4451478642265939,0.3782896528695185
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0725869771127967,0.1048187881088965,0.188521084442476,0.4470820849629674,0.3698985244498924
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.073576228028872,0.1067602013389336,0.1581829064384906,0.4105717783371157,0.3266536722251774
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1017053153328774,0.1281555958977132,0.1294689255017361,0.4009991648109517,0.4000331028614878
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1010351259341635,0.1275824194666914,0.1372384196530398,0.41439658247847,0.4124047068968122
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0986868503272119,0.1261183849645702,0.1569255440524739,0.4156676063483119,0.41479614127698
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0920019962770773,0.1156234250657877,0.2007315464693908,0.5197878416669743,0.4292697532571911
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0921644135530586,0.1161047606448454,0.1940630513462226,0.5219876535873255,0.4333602206064959
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0895706615633361,0.112623752150429,0.2416651829827858,0.5166807197301087,0.4161658014914688
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1439956223460566,0.1886678112097363,0.4049007017764933,0.6363787534253151,0.5793145417408222
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1437961715911744,0.1878362355258666,0.4101350817533921,0.6407381195216673,0.5796244779973968
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.144701287921375,0.1888529582237156,0.4037321408041967,0.6404581146059027,0.5758990270878006
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1001962297446637,0.1280922455648461,0.0801274529331504,0.3330264879624137,0.3310520224276916
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1003895149207839,0.128779943039368,0.0702237753169956,0.3236190787704325,0.3274105674318106
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.099164298275482,0.1267301703600286,0.0995864608738839,0.3311288630890303,0.3239117595497676
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.065976154162807,0.0914109825495533,0.1918561606965551,0.4473884308567129,0.3408835956009253
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0655320493875823,0.0907898302908499,0.2028017787984505,0.4587305525747633,0.3578936560287675
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0678591288130917,0.0938401132325304,0.1483346885100183,0.4099482655003506,0.3090372058673399
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1335561246000298,0.1620096200175832,0.2003716645117073,0.486411206094272,0.4687794570056369
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1351886925848418,0.1640758035714083,0.1798455449343936,0.4743117324336835,0.4615521626921438
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1388096664585633,0.1664932099485731,0.1555000631346429,0.438268134227909,0.4249406339362181
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1112397697054249,0.1534558098525275,0.1589452454284069,0.4049940112687574,0.3305958334691074
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1111598539195037,0.1537920001140745,0.1552560511684207,0.4014718482161911,0.3395316143650863
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1122131368835009,0.150414439397619,0.1919529333145738,0.4409730052982863,0.3131493437669466
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.086691810870467,0.1129998418198302,0.1719948475496194,0.4195894355675363,0.385612705389749
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0864840027640021,0.1128801223451036,0.1737484045242067,0.4241462946222835,0.397867492123896
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0817726346218353,0.1094321130230135,0.2234544445357923,0.4783134068055236,0.4342605375304678
