feature,real_mean,synthetic_mean,real_std,synthetic_std,mean_abs_diff,std_abs_diff
EEG.F7__max,4610.704,4601.0356,506.66757,375.8013,9.668457,130.86627
EEG.F7__median,4269.1367,4267.973,126.34879,126.09524,1.1635742,0.2535553
EEG.F7__robust_iqr,81.94056,77.11208,164.79462,98.82407,4.828476,65.97054
EEG.F7__skew,0.7883819,0.74888694,1.3335806,0.91869026,0.03949493,0.41489035
EEG.F7__kurt,4.1720424,3.4609497,6.2746816,4.545954,0.7110927,1.7287273
EEG.F7__signal_energy,1.8288048e+07,1.8268288e+07,1.1206935e+06,1.1924851e+06,19760.0,71791.625
EEG.F7__zero_crossing_rate,0.042413037,0.0400603,0.03147997,0.021204919,0.002352737,0.010275051
EEG.F7__line_length,10962.684,11078.988,12722.329,12353.616,116.30469,368.7129
EEG.F7__mean_abs_diff,4.437197,4.488327,5.119683,5.4139514,0.051129818,0.2942686
EEG.F3__mean,4300.48,4303.1367,91.5486,93.715996,2.6567383,2.1673965
EEG.F3__std,60.25141,48.857655,141.93407,121.552864,11.393757,20.381203
EEG.F3__min,4126.175,4155.3594,384.15936,311.55164,29.18457,72.60773
EEG.F3__max,4470.154,4453.9155,327.3074,261.31848,16.238281,65.98892
EEG.F3__median,4300.599,4301.7964,127.82606,124.030106,1.1972656,3.7959518
EEG.F3__robust_iqr,58.71613,51.543186,162.63287,89.686264,7.172943,72.94661
EEG.F3__skew,0.21621643,0.2795657,1.0667062,0.6889037,0.06334926,0.3778025
EEG.F3__kurt,2.10327,2.0191903,8.0618515,6.277489,0.08407974,1.7843623
EEG.F3__signal_energy,1.8526398e+07,1.8532106e+07,1.0948471e+06,1.1936622e+06,5708.0,98815.125
EEG.F3__zero_crossing_rate,0.05224793,0.052559312,0.033732116,0.0227331,0.00031138211,0.010999016
EEG.F3__line_length,8433.183,8609.357,12204.412,12273.607,176.1748,69.19531
EEG.F3__mean_abs_diff,3.4202006,3.4476821,5.1182346,5.286669,0.027481556,0.16843414
EEG.FC5__mean,4298.691,4299.99,92.21648,92.92237,1.2993164,0.7058945
EEG.FC5__std,71.21671,60.703323,152.3851,125.420425,10.51339,26.964676
EEG.FC5__min,4091.9353,4117.6475,414.7481,329.07465,25.712158,85.67346
EEG.FC5__max,4516.977,4497.088,387.50626,278.6704,19.88916,108.835846
EEG.FC5__median,4298.886,4298.868,125.951645,123.90025,0.018066406,2.0513916
EEG.FC5__robust_iqr,64.413574,57.474945,160.24837,92.03358,6.938629,68.21479
EEG.FC5__skew,0.3602973,0.3741376,1.1890842,0.74150556,0.013840318,0.4475786
EEG.FC5__kurt,2.8374815,2.344279,6.0416813,3.2178516,0.49320245,2.8238297
EEG.FC5__signal_energy,1.8515614e+07,1.8509494e+07,1.0944006e+06,1.1781341e+06,6120.0,83733.5
EEG.FC5__zero_crossing_rate,0.055936407,0.054938752,0.041891903,0.027113982,0.0009976551,0.014777921
EEG.FC5__line_length,10046.734,10258.7295,12583.629,12074.26,211.99512,509.36914
EEG.FC5__mean_abs_diff,4.069616,4.0930986,5.0737386,4.8859787,0.0234828,0.18775988
EEG.T7__mean,4267.199,4264.9653,97.43094,94.28065,2.2338867,3.1502914
EEG.T7__std,60.771847,48.359695,148.03735,126.270386,12.412151,21.766968
EEG.T7__min,4082.4573,4113.0,414.8684,334.42474,30.542725,80.443665
EEG.T7__max,4430.4707,4404.0034,378.4345,293.00583,26.467285,85.42868
EEG.T7__median,4267.7437,4265.2485,129.29301,123.00869,2.4951172,6.2843246
EEG.T7__robust_iqr,54.927814,46.64325,152.90997,92.73746,8.284565,60.172516
EEG.T7__skew,-0.026832355,0.036160406,1.0560076,0.64876,0.06299276,0.4072476
EEG.T7__kurt,1.6608001,1.3256296,4.608394,3.5877352,0.3351705,1.020659
EEG.T7__signal_energy,1.8244348e+07,1.8209194e+07,1.1431499e+06,1.1969855e+06,35154.0,53835.625
EEG.T7__zero_crossing_rate,0.068038814,0.06867707,0.046505906,0.03198891,0.000638254,0.014516994
EEG.T7__line_length,9306.065,9335.068,12823.581,12533.357,29.00293,290.22363
EEG.T7__mean_abs_diff,3.7337093,3.8156836,5.0708632,5.4043145,0.08197427,0.33345127
EEG.P7__mean,4269.0884,4266.788,93.68455,92.794914,2.300293,0.8896332
EEG.P7__std,60.58339,45.308674,145.1782,112.52277,15.274715,32.655434
EEG.P7__min,4088.1587,4127.963,416.83743,301.59976,39.8042,115.23767
EEG.P7__max,4416.939,4386.9556,325.32794,232.99594,29.983398,92.332
EEG.P7__median,4270.9946,4267.7793,125.734795,126.02526,3.215332,0.2904663
EEG.P7__robust_iqr,59.612206,47.868458,162.24835,73.300896,11.743748,88.94746
EEG.P7__skew,-0.09386601,-0.05921476,1.0049174,0.6409307,0.034651253,0.36398667
EEG.P7__kurt,1.3652022,1.0976884,4.2068725,3.0431364,0.26751375,1.1637361
EEG.P7__signal_energy,1.8258776e+07,1.821854e+07,1.1081519e+06,1.1893186e+06,40236.0,81166.75
EEG.P7__zero_crossing_rate,0.061654013,0.06408173,0.04705023,0.030481812,0.0024277158,0.016568419
EEG.P7__line_length,8114.023,8186.0713,12739.223,12116.202,72.04834,623.0205
EEG.P7__mean_abs_diff,3.2480183,3.3804126,5.0471525,5.4561234,0.13239431,0.40897083
EEG.O1__mean,4266.954,4264.7734,95.60203,95.21795,2.180664,0.38407898
EEG.O1__std,57.46434,45.575924,144.9215,120.28265,11.888416,24.63884
EEG.O1__min,4092.1365,4123.4385,409.06955,315.93655,31.302002,93.132996
EEG.O1__max,4418.368,4391.694,359.22064,277.5134,26.674316,81.707245
EEG.O1__median,4268.0205,4264.644,128.34074,125.8199,3.3764648,2.5208435
EEG.O1__robust_iqr,54.033363,44.701218,150.48436,83.66064,9.332146,66.82372
EEG.O1__skew,-0.06481465,-0.034928028,0.99297035,0.628858,0.029886622,0.36411238
EEG.O1__kurt,1.4315832,1.0858233,6.223439,3.2162373,0.34575987,3.007202
EEG.O1__signal_energy,1.824048e+07,1.8214702e+07,1.1156276e+06,1.2148031e+06,25778.0,99175.5
EEG.O1__zero_crossing_rate,0.06974065,0.0723841,0.044835318,0.031787444,0.0026434436,0.013047874
EEG.O1__line_length,9316.34,9511.462,12661.236,12313.94,195.12207,347.2959
EEG.O1__mean_abs_diff,3.747913,3.8152974,5.097669,5.099189,0.06738448,0.00151968
EEG.O2__mean,4270.7837,4269.764,96.548676,97.36068,1.0195312,0.8120041
EEG.O2__std,62.248665,49.622334,154.42053,128.14111,12.626331,26.279419
EEG.O2__min,4089.357,4112.853,412.64233,330.95743,23.496094,81.684906
EEG.O2__max,4434.3276,4405.635,378.2415,289.74066,28.692871,88.500824
EEG.O2__median,4271.396,4268.614,127.44612,125.96776,2.7822266,1.478363
EEG.O2__robust_iqr,59.756863,50.38855,159.79587,95.29541,9.368313,64.50046
EEG.O2__skew,-0.054041225,-0.026174445,0.9381275,0.5956612,0.02786678,0.3424663
EEG.O2__kurt,1.2068006,0.8453499,4.387029,3.3098638,0.36145067,1.0771654
EEG.O2__signal_energy,1.827679e+07,1.825493e+07,1.1188716e+06,1.2266039e+06,21860.0,107732.25
EEG.O2__zero_crossing_rate,0.065851435,0.06793061,0.041735906,0.030412046,0.002079174,0.01132386
EEG.O2__line_length,10190.522,10527.631,13134.256,12486.172,337.1084,648.084
EEG.O2__mean_abs_diff,4.098696,4.186786,5.2968254,5.1479516,0.08808994,0.1488738
EEG.P8__mean,4257.5923,4256.9,100.615326,93.07143,0.6923828,7.5438995
EEG.P8__std,76.8696,61.937275,181.76335,146.21039,14.932323,35.552963
EEG.P8__min,4034.0215,4068.036,478.72156,373.24817,34.014404,105.47339
EEG.P8__max,4450.5435,4425.234,398.94244,314.1835,25.30957,84.75894
EEG.P8__median,4258.4746,4256.5137,134.24113,126.97325,1.9609375,7.2678833
EEG.P8__robust_iqr,76.79172,65.68483,232.21172,130.07974,11.106888,102.13197
EEG.P8__skew,-0.10562208,-0.08423795,0.97772145,0.64084977,0.021384135,0.33687168
EEG.P8__kurt,1.3260298,0.6905915,3.7253656,3.395759,0.63543826,0.32960653
EEG.P8__signal_energy,1.817621e+07,1.8145458e+07,1.1204444e+06,1.1986186e+06,30752.0,78174.25
EEG.P8__zero_crossing_rate,0.053072125,0.055020325,0.036305983,0.026101923,0.0019482002,0.01020406
EEG.P8__line_length,10715.643,11122.525,23005.797,17456.94,406.8828,5548.8574
EEG.P8__mean_abs_diff,4.2969055,4.4468875,9.127545,7.337238,0.14998198,1.7903075
EEG.T8__mean,4244.023,4246.5166,81.873535,67.82444,2.4936523,14.049095
EEG.T8__std,78.17682,64.72632,197.73303,164.43103,13.4505005,33.302002
EEG.T8__min,4014.7986,4045.7068,494.20187,386.46136,30.908203,107.74051
EEG.T8__max,4452.5273,4432.4443,453.65863,354.587,20.083008,99.071625
EEG.T8__median,4244.9126,4244.9873,129.99605,128.30205,0.07470703,1.6940002
EEG.T8__robust_iqr,78.35472,66.180466,263.26315,185.31447,12.174255,77.948685
EEG.T8__skew,-0.091346085,-0.049560834,0.9763688,0.6161439,0.04178525,0.3602249
EEG.T8__kurt,1.5315001,1.1503887,4.2678614,3.5493104,0.38111138,0.7185509
EEG.T8__signal_energy,1.8063744e+07,1.8066042e+07,947215.9,949786.06,2298.0,2570.1875
EEG.T8__zero_crossing_rate,0.060520217,0.061901793,0.03798665,0.026193842,0.0013815761,0.011792809
EEG.T8__line_length,12722.44,13379.539,33620.04,24646.447,657.09863,8973.592
EEG.T8__mean_abs_diff,5.087877,5.305123,13.208368,9.94532,0.21724606,3.2630482
EEG.FC6__mean,4467.073,4474.552,87.72562,69.66401,7.4785156,18.061607
EEG.FC6__std,91.859825,78.76136,198.87526,164.23076,13.098465,34.6445
EEG.FC6__min,4203.763,4240.2095,525.2079,410.6733,36.44629,114.53458
EEG.FC6__max,4728.6675,4715.223,449.14328,337.97705,13.444336,111.16623
EEG.FC6__median,4468.0474,4472.355,131.31108,121.28994,4.307617,10.021141
EEG.FC6__robust_iqr,90.63966,77.82713,248.77676,168.05428,12.8125305,80.72249
EEG.FC6__skew,0.081799395,0.16256143,1.0446247,0.6736955,0.080762036,0.37092918
EEG.FC6__kurt,1.9804595,1.7227645,4.222981,2.802891,0.25769496,1.42009
EEG.FC6__signal_energy,2.0010546e+07,2.0053584e+07,980903.25,958242.56,43038.0,22660.688
EEG.FC6__zero_crossing_rate,0.050945405,0.05062672,0.03411516,0.023880292,0.00031868368,0.01023487
EEG.FC6__line_length,13081.568,13869.98,23652.104,18573.754,788.4121,5078.3496
EEG.FC6__mean_abs_diff,5.275484,5.4889336,9.517146,7.868747,0.21344948,1.6483989
EEG.F4__mean,4446.062,4450.4683,108.68488,88.46323,4.40625,20.221657
EEG.F4__std,65.77954,54.150467,153.74129,124.95529,11.629074,28.785995
EEG.F4__min,4251.7944,4277.7617,427.6931,337.64523,25.967285,90.04788
EEG.F4__max,4628.6616,4619.656,344.6806,259.65295,9.005859,85.02765
EEG.F4__median,4446.3174,4449.9644,140.06812,118.62674,3.6469727,21.441376
EEG.F4__robust_iqr,62.52569,56.07995,165.63544,97.86214,6.4457397,67.7733
EEG.F4__skew,0.09925321,0.13568872,1.0486225,0.66501737,0.036435515,0.38360512
EEG.F4__kurt,1.9224231,1.551871,9.498961,5.8113847,0.37055218,3.6875768
EEG.F4__signal_energy,1.9807436e+07,1.9837378e+07,1.1674061e+06,1.1542982e+06,29942.0,13107.875
EEG.F4__zero_crossing_rate,0.054047626,0.054394666,0.03347856,0.023409564,0.0003470406,0.010068998
EEG.F4__line_length,10119.292,10451.752,14140.982,12857.537,332.45996,1283.4453
EEG.F4__mean_abs_diff,4.0729485,4.288121,5.6849957,5.573401,0.21517277,0.11159468
EEG.F8__mean,4355.512,4360.709,100.44257,91.47948,5.1967773,8.963097
EEG.F8__std,103.87751,90.9299,184.4627,149.06223,12.947609,35.400482
EEG.F8__min,4076.7476,4116.2393,483.43643,379.82907,39.4917,103.60736
EEG.F8__max,4696.079,4691.9336,500.17667,367.89175,4.145508,132.28491
EEG.F8__median,4354.8843,4356.7485,131.44446,120.87088,1.8642578,10.573578
EEG.F8__robust_iqr,94.431755,84.58865,186.85776,126.88302,9.8431015,59.97474
EEG.F8__skew,0.39789358,0.4663626,1.1863176,0.73758906,0.06846902,0.4487285
EEG.F8__kurt,2.9764872,2.5770466,4.8291707,3.049734,0.39944053,1.7794366
EEG.F8__signal_energy,1.9025632e+07,1.9041684e+07,1.1316116e+06,1.1694639e+06,16052.0,37852.25
