target_name,validation,model,folds,n_test_total,elapsed_s_total,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max,r2_mean,r2_std,r2_min,r2_max,pearson_mean,pearson_std,pearson_min,pearson_max,spearman_mean,spearman_std,spearman_min,spearman_max
excitement,groupkfold_subject_fold_2,hgb_reg,1,10161,12.710796594619751,0.15822751815899802,0.0,0.15822751815899802,0.15822751815899802,0.21099196819504074,0.0,0.21099196819504074,0.21099196819504074,0.19086917419769012,0.0,0.19086917419769012,0.19086917419769012,0.47137725056401825,0.0,0.47137725056401825,0.47137725056401825,0.40800398476992733,0.0,0.40800398476992733,0.40800398476992733
excitement,groupkfold_subject_fold_2,lgbm_reg,1,10161,15.387125253677368,0.15712162840490218,0.0,0.15712162840490218,0.15712162840490218,0.20934952324599193,0.0,0.20934952324599193,0.20934952324599193,0.20341733232873482,0.0,0.20341733232873482,0.20341733232873482,0.4814611189431066,0.0,0.4814611189431066,0.4814611189431066,0.4166548143972984,0.0,0.4166548143972984,0.4166548143972984
excitement,groupkfold_subject_fold_2,rf_reg,1,10161,521.5692613124847,0.15255190266851473,0.0,0.15255190266851473,0.15255190266851473,0.20176338607298228,0.0,0.20176338607298228,0.20176338607298228,0.26010240475208635,0.0,0.26010240475208635,0.26010240475208635,0.511526088415029,0.0,0.511526088415029,0.511526088415029,0.42970625360497106,0.0,0.42970625360497106,0.42970625360497106
focus,groupkfold_subject_fold_2,hgb_reg,1,8986,12.151264667510986,0.08758396045623347,0.0,0.08758396045623347,0.08758396045623347,0.1139607499878889,0.0,0.1139607499878889,0.1139607499878889,0.22499793469089713,0.0,0.22499793469089713,0.22499793469089713,0.4996545391123107,0.0,0.4996545391123107,0.4996545391123107,0.5007560374469101,0.0,0.5007560374469101,0.5007560374469101
focus,groupkfold_subject_fold_2,lgbm_reg,1,8986,9.749146938323975,0.08792538087639976,0.0,0.08792538087639976,0.08792538087639976,0.1142804342437364,0.0,0.1142804342437364,0.1142804342437364,0.22064374322132252,0.0,0.22064374322132252,0.22064374322132252,0.4908143889185974,0.0,0.4908143889185974,0.4908143889185974,0.49369822713035216,0.0,0.49369822713035216,0.49369822713035216
focus,groupkfold_subject_fold_2,rf_reg,1,8986,475.070476770401,0.08875384759919011,0.0,0.08875384759919011,0.08875384759919011,0.11493818264469631,0.0,0.11493818264469631,0.11493818264469631,0.21164665557903772,0.0,0.21164665557903772,0.21164665557903772,0.4778329216035098,0.0,0.4778329216035098,0.4778329216035098,0.47364296652426147,0.0,0.47364296652426147,0.47364296652426147
interest,groupkfold_subject_fold_2,hgb_reg,1,9114,11.77967643737793,0.05783893011707771,0.0,0.05783893011707771,0.05783893011707771,0.07896769409805023,0.0,0.07896769409805023,0.07896769409805023,0.11710136638679147,0.0,0.11710136638679147,0.11710136638679147,0.4047783430522997,0.0,0.4047783430522997,0.4047783430522997,0.3517088745415916,0.0,0.3517088745415916,0.3517088745415916
interest,groupkfold_subject_fold_2,lgbm_reg,1,9114,9.486930131912231,0.05831844820908813,0.0,0.05831844820908813,0.05831844820908813,0.07905317226933592,0.0,0.07905317226933592,0.07905317226933592,0.11518895380413863,0.0,0.11518895380413863,0.11518895380413863,0.40572469285043183,0.0,0.40572469285043183,0.40572469285043183,0.35242284245724353,0.0,0.35242284245724353,0.35242284245724353
interest,groupkfold_subject_fold_2,rf_reg,1,9114,574.4273993968964,0.05890342045679217,0.0,0.05890342045679217,0.05890342045679217,0.07986430204147761,0.0,0.07986430204147761,0.07986430204147761,0.09693848906506586,0.0,0.09693848906506586,0.09693848906506586,0.36742970980319706,0.0,0.36742970980319706,0.36742970980319706,0.3085682537033943,0.0,0.3085682537033943,0.3085682537033943
relaxation,groupkfold_subject_fold_2,hgb_reg,1,9108,12.087602138519287,0.10613627379674602,0.0,0.10613627379674602,0.10613627379674602,0.1335323271815543,0.0,0.1335323271815543,0.1335323271815543,0.18997168375936357,0.0,0.18997168375936357,0.18997168375936357,0.4494060805158031,0.0,0.4494060805158031,0.4494060805158031,0.41443260147810185,0.0,0.41443260147810185,0.41443260147810185
