target_name,target_col,validation,split_id,model,n_train,n_test,n_train_subjects,n_test_subjects,elapsed_s,mae,mse,rmse,r2,pearson,spearman
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_2,2,lgbm_reg,40822,10161,43,11,15.387125253677368,0.15712162840490218,0.043827222883324114,0.20934952324599193,0.20341733232873482,0.4814611189431066,0.4166548143972984
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_3,3,hgb_reg,40664,10319,43,11,12.721638202667236,0.14399562234605665,0.035595542986672724,0.18866781120973636,0.4049007017764933,0.6363787534253151,0.5793145417408222
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_3,3,rf_reg,40664,10319,43,11,529.7113852500916,0.144701287921375,0.035665439829848475,0.18885295822371562,0.4037321408041967,0.6404581146059027,0.5758990270878006
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_3,3,lgbm_reg,40664,10319,43,11,10.31719422340393,0.14379617159117444,0.035282451376528856,0.18783623552586667,0.4101350817533921,0.6407381195216673,0.5796244779973968
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_4,4,hgb_reg,40951,10032,44,10,12.833724021911621,0.1477821974113774,0.0376024454867093,0.19391350001149818,0.2870151760110985,0.554729702137156,0.5188357574479058
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_4,4,rf_reg,40951,10032,44,10,530.3838827610016,0.15346484526716667,0.03971202924053285,0.1992787726792115,0.2470150860716992,0.5166133643723668,0.4645722023989651
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_4,4,lgbm_reg,40951,10032,44,10,10.654627561569214,0.14875385481318873,0.03787888222837647,0.19462497842871165,0.28177362325966115,0.5525415877070702,0.5084409940374427
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_5,5,hgb_reg,40687,10296,43,11,12.7234787940979,0.1226204931099529,0.02529068472095156,0.15903045218118309,0.40961029725415343,0.6502869631042032,0.5565869034525253
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_5,5,rf_reg,40687,10296,43,11,506.4765853881836,0.13415384930550986,0.028703331184138252,0.16942057485482173,0.32994494405363917,0.611862085333472,0.537136235511963
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_5,5,lgbm_reg,40687,10296,43,11,10.55356502532959,0.12268052237558871,0.025463346421030677,0.15957238614820132,0.4055796555016644,0.6446387351444992,0.5477965154206191
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_1,1,hgb_reg,36255,9123,42,11,11.403371810913086,0.09953200700992977,0.019110571223017812,0.1382409896630439,0.2346012039527181,0.48663925175460654,0.35054313803318926
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_1,1,rf_reg,36255,9123,42,11,598.2044775485992,0.0973092621279594,0.018298185363762955,0.13527078532988177,0.267138125604258,0.5229469963366968,0.41658520465455134
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_1,1,lgbm_reg,36255,9123,42,11,9.207968950271606,0.10010744122309571,0.019382948995535772,0.1392226597775512,0.2236921831431159,0.476885942414315,0.339393927441245
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_2,2,hgb_reg,36392,8986,43,10,11.466876983642578,0.071765681725424,0.011073916226286097,0.10523267660896067,0.18210000496130452,0.44514786422659397,0.3782896528695185
